Question,Answer
What's the value of 12 + 68?,80
What's the value of 23 + 89?,112
What's the value of 45 - 18?,27
What's the value of 73 + 15?,88
What's the value of 64 - 27?,37
What's the value of 36 + 54?,90
What's the value of 81 - 35?,46
What's the value of 22 + 77?,99
What's the value of 63 - 19?,44
What's the value of 47 + 52?,99
What's the value of 55 - 28?,27
What's the value of 42 + 36?,78
What's the value of 91 / 13?,7.0
What's the value of 16 * 59?,944
What's the value of 78 / 24?,3.25
What's the value of 38 + 49?,87
What's the value of 72 - 33?,39
What's the value of 29 * 69?,2001
What's the value of 50 / 17?,2.9411764705882355
What's the value of 64 + 28?,92
What's the value of 88 - 41?,47
What's the value of 15 * 58?,870
What's the value of 49 / 12?,4.083333333333333
What's the value of 34 + 41?,75
What's the value of 66 - 28?,38
What's the value of 27 * 48?,1296
What's the value of 60 / 23?,2.608695652173913
What's the value of 11 + 84?,95
What's the value of 95 - 32?,63
What's the value of 53 * 45?,2385
What's the value of 82 / 16?,5.125
What's the value of 24 + 57?,81
What's the value of 70 - 29?,41
What's the value of 20 * 75?,1500
What's the value of 40 / 14?,2.857142857142857
What's the value of 18 + 57?,75
What's the value of 86 - 33?,53
What's the value of 32 * 69?,2208
What's the value of 73 / 26?,2.8076923076923075
What's the value of 45 + 62?,107
What's the value of 69 - 18?,51
What's the value of 26 * 48?,1248
What's the value of 12 / 86?,0.13953488372093023
What's the value of 50 - 21?,29
What's the value of 78 + 27?,105
What's the value of 33 / 14?,2.357142857142857
What's the value of 88 + 16?,104
What's the value of 47 - 22?,25
What's the value of 84 * 35?,2940
What's the value of 64 - 12?,52
What's the value of 25 + 68?,93
What's the value of 92 - 27?,65
What's the value of 20 * 88?,1760
What's the value of 59 / 18?,3.2777777777777777
What's the value of 30 + 62?,92
What's the value of 69 - 32?,37
What's the value of 56 * 39?,2184
What's the value of 85 / 25?,3.4
What's the value of 13 + 76?,89
What's the value of 64 - 13?,51
What's the value of 28 * 44?,1232
What's the value of 57 / 24?,2.375
What's the value of 24 + 58?,82
What's the value of 74 - 19?,55
What's the value of 18 * 67?,1206
What's the value of 63 / 14?,4.5
What's the value of 39 + 59?,98
What's the value of 88 / 37?,2.3783783783783785
What's the value of 47 + 62?,109
What's the value of 76 - 27?,49
What's the value of 34 + 45?,79
What's the value of 67 - 16?,51
What's the value of 29 * 72?,2088
What's the value of 90 / 35?,2.5714285714285716
What's the value of 49 + 37?,86
What's the value of 85 / 29?,2.9310344827586206
What's the value of 31 + 47?,78
What's the value of 54 - 17?,37
What's the value of 20 * 66?,1320
What's the value of 68 - 12?,56
What's the value of 36 * 62?,2232
What's the value of 79 / 32?,2.46875
What's the value of 24 + 53?,77
What's the value of 59 - 14?,45
What's the value of 45 * 32?,1440
What's the value of 81 / 17?,4.764705882352941
What's the value of 64 + 47?,111
What's the value of 91 - 34?,57
What's the value of 31 * 54?,1674
What's the value of 76 / 18?,4.222222222222222
What's the value of 26 + 46?,72
What's the value of 68 - 16?,52
What's the value of 19 * 65?,1235
What's the value of 44 / 22?,2.0
What's the value of 38 * 68?,2584
What's the value of 91 / 35?,2.6
What's the value of 22 + 78?,100
What's the value of 69 - 16?,53
What's the value of 53 + 27?,80
What's the value of 81 / 32?,2.53125
What's the value of 23 * 66?,1518
What's the value of 47 - 19?,28
What's the value of 36 * 51?,1836
What's the value of 85 / 25?,3.4
What's the value of 51 + 36?,87
What's the value of 94 - 23?,71
